Influencer ID,Influencer Name,Username,Follower Count,Following Count,Total Posts,Average Likes per Post,Average Comments per Post,Engagement Rate (%),Post Type,Hashtags Used,Post Reach,Post Impressions,Story Views,Sponsorship Deals,Brand Collaborations,Country,Content Category,Verified Account,Monetization Status
INF6403,Alice Johnson,emily_davis43,1088336,443,1454,30209,706,2.84,Reel,"#travel, #fashion, #fitness, #love",799982,1410171,,1,9,USA,Gaming,No,Inactive
INF9523,David Smith,daniel_martinez32,2650169,155,791,135115,8064,5.4,Photo,"#instagood, #gaming",1069782,1572984,,17,30,Japan,Tech,Yes,Active
INF4059,Alice Johnson,ethan_white46,257713,153,555,14074,995,5.85,Video,"#tech, #love, #travel, #music, #foodie",103425,172156,,14,6,Germany,Tech,Yes,Inactive
INF9223,Isabella Thomas,isabella_thomas48,2404799,576,350,238769,12844,10.46,Story,"#foodie, #tech, #beauty",1813139,2734367,1081939,15,14,France,Fashion,No,Inactive
INF3818,Olivia Taylor,alice_johnson16,4715798,591,2787,40611,2937,0.92,Video,"#fashion, #travel",1748250,2496219,,20,15,France,Travel,Yes,Inactive
INF9148,Daniel Martinez,david_smith88,1269447,166,2710,9530,526,0.79,Video,"#travel, #beauty, #fitness",940967,1255219,,9,27,France,Comedy,Yes,Active
INF6727,Michael Brown,olivia_taylor99,1733200,227,4676,46525,1193,2.75,Story,"#love, #music, #fashion",922509,1116182,426762,16,39,Germany,Beauty,No,Inactive
INF2844,Alice Johnson,david_smith76,2674933,905,3417,245890,5461,9.4,Reel,"#fitness, #travel",1609456,2585902,,8,16,Japan,Gaming,Yes,Active
INF8100,Emily Davis,michael_brown48,1560422,804,310,27076,1673,1.84,Photo,"#gaming, #love, #fashion",1241040,1879598,,4,41,Italy,Music,Yes,Inactive
INF7091,Olivia Taylor,alice_johnson64,2069177,554,4243,204074,14338,10.56,Video,"#foodie, #instagood, #music, #love, #gaming",480368,729783,,0,16,Australia,Fitness,No,Inactive
INF1221,Sophia Wilson,emily_davis27,3432098,308,4675,89999,7063,2.83,Photo,"#instagood, #music, #tech",1212899,2319783,,12,44,Canada,Beauty,Yes,Active
INF8617,David Smith,michael_brown58,2067012,412,3261,60483,4711,3.15,Story,#beauty,1405624,2037156,512574,10,40,Australia,Gaming,Yes,Inactive
INF2649,Alice Johnson,david_smith75,4964706,916,4125,144313,3948,2.99,Video,"#foodie, #instagood, #love",1588826,2121734,,14,30,France,Fitness,No,Inactive
INF9522,David Smith,james_anderson99,2650110,417,2653,260667,13800,10.36,Video,#love,2103249,4123600,,5,30,Germany,Gaming,Yes,Inactive
INF3583,Alice Johnson,daniel_martinez58,687933,330,2318,36122,2627,5.63,Reel,"#travel, #foodie, #music, #fitness, #gaming",259266,414932,,12,9,UK,Comedy,No,Inactive
INF2826,Emily Davis,emily_davis60,866737,714,4086,44290,3894,5.56,Story,"#beauty, #instagood",626346,904880,347956,5,15,Italy,Food,Yes,Active
INF2700,Sophia Wilson,olivia_taylor22,786933,990,1517,69993,5297,9.57,Video,"#fitness, #beauty",220629,327353,,15,24,France,Music,Yes,Inactive
INF2302,Ethan White,james_anderson17,4665064,58,4655,335257,26013,7.74,Photo,#music,1178391,2290375,,3,7,USA,Food,No,Active
INF9544,Sophia Wilson,olivia_taylor41,217912,209,2733,8423,757,4.21,Video,"#music, #tech, #gaming",55290,105456,,10,33,Canada,Comedy,No,Active
INF7789,Alice Johnson,daniel_martinez22,4609125,90,2024,450373,14170,10.08,Video,"#music, #travel, #instagood, #tech",2255906,3493372,,7,21,Canada,Gaming,Yes,Active
